LON,LAT,FULL_STREET_NAME
-97.925436896868, 30.493287684831,10608 SUNNY LN
-97.73427171288, 30.418224110875,4905 WHISPERING VALLEY DR
-97.613973871039, 30.470559913393,1100 KINGSTON LACY BLVD
-97.575308066748, 30.238702233818,4517 TRUTH WAY
-97.7418946752, 30.151938788071,8621 WILEY WAY
-97.843846509626, 30.263541175506,6301 1/2 SOTER PKWY
-97.401157979686, 30.372540734751,18756 IMPERIAL EAGLE LN
-97.939565368543, 30.60035970223,16314 HILL COUNTRY DR
-97.821509251204, 30.18794852541,2309 DAVIS LN
-97.545609402307, 30.447672074995,19032 KIMBERLITE DR
-97.636912028341, 30.161725340513,6709 PLAINS CREST DR
-97.982373567442, 30.349561299623,5 CHAMELEON CT
-97.641428434257, 30.292403986325,6137 FLORENCIA LN
-97.990591888984, 30.48184076512,7719 SAGEBRUSH TRL
-98.019276758207, 30.301636875141,16709 HORONDELLE DR
-97.720875984242, 30.347050300558,7600 GAULT ST
-97.867267027319, 30.206813399659,8816 TIOMBE BND
-97.893338701458, 30.169719616979,5528 ALLAMANDA DR
-97.92821339101, 30.369685837438,14307 FORT SMITH TRL
-97.735501908673, 30.330069681739,5612 JIM HOGG AVE
-97.992972108052, 30.473594744415,7204 COWPOKE TRL
-97.96482713369, 30.494525188587,9206 RUNNING BROOK CV
-97.62262392649, 30.397035014932,13407 UNDERBANK RD
-98.026631182192, 30.427505463158,21704 REDBIRD DR
-97.765153084899, 30.261905406639,608 CLIFF DR
-97.630726897513, 30.261524183931,4206 KINGS CT
-97.687315165253, 30.314006670857,2004 WHELESS LN
-97.908328895373, 30.440693686959,15804 MARY ST
-97.628681763084, 30.150011621639,13204 KINCANE DR
-97.790990019634, 30.483080896579,11213 AVERY STATION LOOP
-97.617791654362, 30.318496150155,7810 DALMATIAN LN
-97.713314784939, 30.413793478424,3107 LEAF CIR
-97.716757045686, 30.076288234572,12511 AQUAPLEX DR
-97.785220420249, 30.374815965566,7407 CREEKBLUFF DR
-97.844838379066, 30.131272489666,1601 GOLDILOCKS LN
-97.806455986054, 30.277999611102,910 BEAVER TRL
-97.564039688902, 30.472315709455,3213 FALCONERS WAY
-97.691220038013, 30.184490369205,4720 1/2 DISTRIBUTION DR
-97.664079134702, 30.387637818271,920 PEGGOTTY PL
-97.807951269057, 30.141052416518,116 KAREN HILL PL
-98.056318280876, 30.400590369126,904 KEISS DR
-97.718756203398, 30.363220525578,1726 1/2 OHLEN RD
-97.846945216347, 30.456226131227,2701 DI SANTIS PL
-97.787111689539, 30.455601580521,9615 NEWBERRY DR
-97.785984602713, 30.240705516501,3403 S LAMAR BLVD
-97.645971339655, 30.286272412188,5520 AGATHA CIR
-97.715008481433, 30.13568164278,8416 SASSMAN RD
-97.573965494114, 30.442968111109,17708 HARBOR POINT CT
-97.762756597044, 30.253577176808,1311 1/2 S LAMAR BLVD
-97.717930493719, 30.430698440052,4516 DESTINYS GATE DR
-97.756035211463, 30.492536016607,15004 IVEANS WAY
-97.958996781869, 30.354285941562,70 WHITE MAGNOLIA CIR
-97.704233068978, 30.062967389738,11906 BRONCO CIR
